,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,@BBC,Thu May 21 20:30:00 +0000 2020,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx",0.765,0.268,0.732,0.0,1
1,@BBC,Thu May 21 19:02:17 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,2
2,@BBC,Thu May 21 19:01:00 +0000 2020,This scene where Marianne and Connell finally address their class difference and how it's affected their relationsh… https://t.co/SwYPjla1Ji,-0.1531,0.0,0.914,0.086,3
3,@BBC,Thu May 21 18:01:00 +0000 2020,"Comedian @ItsTonySlattery meets experts to explore his psychological problems, finding out if he is definitely bipo… https://t.co/7614I03Iol",0.3818,0.241,0.636,0.123,4
4,@BBC,Thu May 21 16:20:13 +0000 2020,"To mark International Diversity Day, the BBC Director-General Tony Hall and UN Deputy Secretary-General Amina J Moh… https://t.co/qe9YYNQYSC",0.0,0.0,1.0,0.0,5
5,@BBC,Thu May 21 16:01:00 +0000 2020,"Another #ThisCountry deleted scene from @bbcthree: more of Mandy's stories.  🙌📚
https://t.co/s7D6Sc4Jpt",0.0,0.0,1.0,0.0,6
6,@BBC,Thu May 21 15:41:52 +0000 2020,RT @HackerTDog: YOU ARE ALL INVITED TO PLAY MY QUIZ AT 7.30PM LIVE TONIGHT ON MY YOUTUBE CHANNEL! GO AND SUBSCRIBE TO ME https://t.co/kFDPk…,0.5307,0.13,0.87,0.0,7
7,@BBC,Thu May 21 14:07:13 +0000 2020,⁣More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,0.0,0.0,1.0,0.0,8
8,@BBC,Thu May 21 14:06:45 +0000 2020,"Social media can be helpful and informative during lockdown - but it can also be overwhelming.

@naomishimada
 has… https://t.co/oCS7c3T4lp",0.2263,0.095,0.905,0.0,9
9,@BBC,Thu May 21 12:29:13 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,10
10,@BBC,Thu May 21 12:29:01 +0000 2020,Nadiya: Anxiety and Me is streaming now on @BBCiPlayer. https://t.co/cizeDDzBYx,-0.1779,0.0,0.841,0.159,11
11,@BBC,Thu May 21 12:01:00 +0000 2020,"Nadiya Hussain explains how severe anxiety affects her life.
 
@BegumNadiya #MentalHealth
https://t.co/BTZnT3dEQY",-0.5106,0.0,0.699,0.301,12
12,@BBC,Thu May 21 11:14:48 +0000 2020,RT @bbcpress: The BBC’s Director of Creative Diversity @JuneSarpong has committed to hardwire diversity and inclusion throughout the BBC -…,0.6124,0.217,0.783,0.0,13
13,@BBC,Thu May 21 10:42:34 +0000 2020,"RT @BBCSport: 💪 Want to get fit and need some structure to help you? 🗓

📲 #Couchto5K is the app for you ➡ https://t.co/z3IGRWqgYv https://t…",0.6705,0.188,0.812,0.0,14
14,@BBC,Thu May 21 10:41:59 +0000 2020,"RT @cbbc: It's #MentalHealthAwarenessWeek2020 and there is no better time to be kind to yourself and others 🥰 #BeKind #BBCOwnIt 
@JoeTasker…",0.6116,0.208,0.714,0.078,15
15,@BBC,Thu May 21 09:08:20 +0000 2020,"RT @BBC6Music: As premiered by @ChrisHawkinsuk...

Composer and producer @ErlandCooper explains how he used 6 Music listeners' sounds of ch…",0.0,0.0,1.0,0.0,16
16,@BBC,Thu May 21 08:01:00 +0000 2020,Love this!  😍 8-year-old @KatyPerry fan Charlotte gets the surprise of her life when her substitute teacher is... A… https://t.co/a3iB06Ubts,0.8977,0.385,0.615,0.0,17
17,@BBC,Thu May 21 05:57:24 +0000 2020,"What’s your mental health tip?

🧠 Mental health campaigner @matthaig1 joins @ChrisHawkinsUK this morning to kick of… https://t.co/sxITXwI65a",0.0,0.0,1.0,0.0,18
18,@BBC,Wed May 20 18:53:15 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,19
19,@BBC,Wed May 20 18:01:00 +0000 2020,.@DavidHarewood revisits a psychotic episode which saw him restrained by six police officers and sedated by hospita… https://t.co/BTx6ZDUy95,0.0,0.0,1.0,0.0,20
20,@BBC,Wed May 20 16:01:00 +0000 2020,"As our lives get more complicated, simple things become more precious. 💙 

@BelugaLagoon #MentalHealth
https://t.co/GePHVoevCo",0.6115,0.21,0.79,0.0,21
21,@BBC,Wed May 20 14:01:51 +0000 2020,More information about the range of programming about mental health across the BBC: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,22
22,@BBC,Wed May 20 14:01:00 +0000 2020,"Whether you’ve been together for 8 weeks or 8 years, every relationship's under pressure in lockdown.

Relationship… https://t.co/s0Li4RyHQC",-0.296,0.0,0.885,0.115,23
23,@BBC,Wed May 20 13:07:13 +0000 2020,"RT @bbcthree: Roses are red, #ThisCountry is great
We liked this joke so much we made eight https://t.co/MAldf6mtRP",0.8555,0.385,0.615,0.0,24
24,@BBC,Wed May 20 12:01:00 +0000 2020,"These scientists are working hard to develop a safe vaccine for COVID-19.

Coronavirus: A #Horizon Special - Part 2… https://t.co/KuHyZAO8lN",0.6369,0.233,0.708,0.058,25
25,@BBC,Wed May 20 10:15:46 +0000 2020,"RT @bbcpress: Want to watch and listen to your favourite BBC programmes with your friends and family? @BBCRD have created #BBCTogether, all…",0.6597,0.252,0.748,0.0,26
26,@BBC,Wed May 20 09:11:49 +0000 2020,"Congratulations to @captaintommoore, who will soon be #SirCaptainTom!

It's been announced that he is to be knighte… https://t.co/6xdhv4jtUs",0.636,0.198,0.802,0.0,27
27,@BBC,Wed May 20 08:51:42 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,28
28,@BBC,Wed May 20 08:01:00 +0000 2020,"Why do some people get depressed?

The jam jar analogy is a helpful way of understanding why some people suffer fro… https://t.co/75Q9czfKIA",-0.6124,0.098,0.664,0.238,29
29,@BBC,Wed May 20 07:43:00 +0000 2020,"Which record always soothes you?

@bbc6music asked some of their favourite acts this very question. Listen to Handp… https://t.co/APmZCDe2Zh",0.0,0.0,1.0,0.0,30
30,@BBC,Tue May 19 19:01:00 +0000 2020,"In Part 2 of the #Horizon Coronavirus Specials, @DoctorChrisVT, @FryRsquared and Dr Michael Mosley examine the late… https://t.co/wdBx30pEPb",0.0,0.0,1.0,0.0,31
31,@BBC,Tue May 19 17:01:00 +0000 2020,"This is what kids in 1986 thought the year 2020 would be like... accurate?  🤔
https://t.co/bFIdDYdqxS",0.3612,0.135,0.865,0.0,32
32,@BBC,Tue May 19 16:23:53 +0000 2020,"RT @BBC6Music: Which record always soothes you?

We asked a few of our favourite acts this very question. Listen to Handpicked, The Morning…",0.0,0.0,1.0,0.0,33
33,@BBC,Tue May 19 16:02:38 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,34
34,@BBC,Tue May 19 16:01:00 +0000 2020,"""The reason we're here is that we've both come close to killing ourselves"". 

@ChrisGPackham met Joe Harkness to ta… https://t.co/x9M7WHZORr",-0.6597,0.0,0.812,0.188,35
35,@BBC,Tue May 19 14:08:41 +0000 2020,".@MicahRichards talks about why speaking about your feelings is a strength, not a weakness. 

@OpenUniversity… https://t.co/rdqd4H0tsL",0.6738,0.283,0.717,0.0,36
36,@BBC,Tue May 19 13:08:22 +0000 2020,RT @bbcpress: This Thursday join the BBC and @UN for the #CreativeDiversity Dialogue to mark #InternationalDiversityDay on @LinkedIn Live w…,0.296,0.104,0.896,0.0,37
37,@BBC,Tue May 19 11:16:29 +0000 2020,"RT @bbcpress: #TheNest is the biggest new BBC drama of the year so far, averaging 9m viewers. See what you're missing on @BBCiPlayer: https…",-0.296,0.0,0.913,0.087,38
38,@BBC,Tue May 19 11:01:00 +0000 2020,"No primates have gone extinct in the last 100 years... but that could change.

#Primates is streaming now on… https://t.co/pHilRWb7Jn",-0.1531,0.0,0.922,0.078,39
39,@BBC,Tue May 19 08:28:41 +0000 2020,"RT @bbcbitesize: This week is #MentalHealthAwarenessWeek and the theme this year is #kindness👫💛

Now more than ever, being kind to our frie…",0.7506,0.192,0.808,0.0,40
40,@BBC,Tue May 19 08:27:35 +0000 2020,"RT @bbcbitesize: Morning team ⛅️

📺 Today's subjects for #BBCBitesizeDaily from 9am on BBCiPlayer and Red Button 👉 https://t.co/zZOO8l1o53…",0.0,0.0,1.0,0.0,41
41,@BBC,Tue May 19 08:27:13 +0000 2020,"RT @BBCWomansHour: Kindness and #MentalHealthAwarenessWeek 🎧 ▶ Lucy Thorpe, Head of Policy @mentalhealth on changing society for the better…",0.6597,0.231,0.769,0.0,42
42,@BBC,Tue May 19 08:01:00 +0000 2020,"""The person that I'm bringing in today lives with anxiety.""

How a teacher surprised his class by opening up about… https://t.co/Sq8N63Sivx",0.0516,0.084,0.841,0.075,43
43,@BBC,Mon May 18 17:03:27 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,44
44,@BBC,Mon May 18 17:02:37 +0000 2020,"Mental health issues can affect any one of us.

For a range of programmes to help start your conversation go to… https://t.co/KkuxY6eRoU",0.4019,0.114,0.886,0.0,45
45,@BBC,Mon May 18 14:01:00 +0000 2020,What is toxic productivity? @Dr_Julie_Smith is here to give you the lowdown on this lockdown phenomenon.… https://t.co/OBIbe4btQf,-0.2023,0.0,0.899,0.101,46
46,@BBC,Mon May 18 13:27:29 +0000 2020,"Cereal bar massage technician = new dream job! 🥣

#InsideTheFactory

https://t.co/55Gp0EDlvW",0.3164,0.16,0.84,0.0,47
47,@BBC,Mon May 18 13:00:01 +0000 2020,"Ian Fletcher, BBC Head of Values (@hughbon), with support from the @BBCCO, gives a one-off address from his lockdow… https://t.co/eRhyFpj6va",0.6597,0.231,0.769,0.0,48
48,@BBC,Mon May 18 12:01:00 +0000 2020,#MentalHealth conditions often have invisible symptoms. Can VR help people express what's going on inside their hea… https://t.co/dGFA6mDOSL,0.4019,0.137,0.863,0.0,49
49,@BBC,Mon May 18 12:00:56 +0000 2020,@ITV @Channel4 @bbcthree @skytv @channel5_tv @davechannel @ComedyCentralUK @MTVUK @UKTV Sending virtual hugs 🤗 https://t.co/WaxCsGhWTq,0.7184,0.316,0.684,0.0,50
50,@BBC,Mon May 18 10:07:39 +0000 2020,"“You are not alone.”

Radio stations across the UK have joined together for the #MentalHealthMinute - featuring The… https://t.co/QiYPiThw1n",0.0,0.0,1.0,0.0,51
51,@BBC,Mon May 18 08:01:00 +0000 2020,"❤️ @mescal_paul: ""Say that you love them, listen and be joyous in their company."" 

If you're Obsessed with… https://t.co/hhXUANbVbr",0.8225,0.307,0.63,0.063,52
52,@BBC,Mon May 18 07:58:28 +0000 2020,"RT @bbcbitesize: Tomorrow is the start of #MentalHealthAwarenessWeek 2020 and this year it's all about #Kindness 🧡

Here is your 7 day chal…",0.4588,0.115,0.885,0.0,53
53,@BBC,Mon May 18 07:53:59 +0000 2020,"Want to get fit during lockdown? #CouchTo5K could be for you.

🏃‍♀️The app will get you running 5K in nine weeks (e… https://t.co/TH3etAf4fy",0.4215,0.137,0.863,0.0,54
54,@BBC,Mon May 18 07:01:10 +0000 2020,"RT @bbcarts: Thank you for coming to #WoWxBBC and for your enthusiasm. We hope you leave the virtual festival inquisitive, inspired and gal…",0.9349,0.488,0.476,0.036,55
55,@BBC,Sun May 17 18:59:07 +0000 2020,If you want to keep the #Eurovision fun going - you need to watch The A-Z of Eurovision with @rylan on @bbciplayer!… https://t.co/Jk5u0826M5,0.5983,0.189,0.811,0.0,56
56,@BBC,Sun May 17 13:01:00 +0000 2020,"Every #Eurovision winner of the past 25 years! Which is your favourite..? 🤔✨

#Eurovision2020 

https://t.co/u2eeQL8UCx",0.75,0.299,0.701,0.0,57
57,@BBC,Sun May 17 13:01:00 +0000 2020,"""The chain will always be more popular than I am."" 😂

@bbcthree's #NormalPeople star @mescal_paul tells @BBCR1 abou… https://t.co/RYBiXdpfX2",0.7178,0.239,0.695,0.066,58
58,@BBC,Sun May 17 10:01:00 +0000 2020,"There's lots more deleted #ThisCountry scene on their way from @bbcthree... 

Here's one: Kurtan shows Kerry and th… https://t.co/Bw8swPdAIr",0.0,0.0,1.0,0.0,59
59,@BBC,Sat May 16 18:01:00 +0000 2020,#Eurovision: Europe Shine a Light celebrates all 41 songs that would have competed in the #Eurovision2020 contest.… https://t.co/7MwKNGco95,0.5719,0.179,0.821,0.0,60
60,@BBC,Sat May 16 16:01:00 +0000 2020,#Eurovision2020 may not be going ahead as planned tonight - but @grahnort will give viewers the chance to vote for… https://t.co/sHsYMyLJ2h,0.3612,0.111,0.889,0.0,61
61,@BBC,Sat May 16 14:00:01 +0000 2020,Join HRH The Duke of Cambridge as he aims to break the stigma around men's mental health.… https://t.co/HrlPnCxv1b,0.296,0.115,0.885,0.0,62
62,@BBC,Sat May 16 11:01:00 +0000 2020,"What’s the point of noses? 👃
https://t.co/OpTlYow0AA",0.0,0.0,1.0,0.0,63
63,@BBC,Sat May 16 10:01:00 +0000 2020,"How well do you know your 90s #Eurovision trivia? Take the quiz from @bbcradio2!  🕺🎶

👉 https://t.co/ennQoFUY6z https://t.co/1snG9TaY0a",0.3382,0.094,0.906,0.0,64
64,@BBC,Sat May 16 07:39:10 +0000 2020,RT @bbcarts: Enjoy a Saturday morning stretch and ease into the #WOWxBBC Festival with basketball player and spoken word poet @AsmaElbadawi…,0.836,0.331,0.669,0.0,65
65,@BBC,Sat May 16 07:39:07 +0000 2020,"RT @bbceurovision: REST OF WORLD: SATURDAY

EUROPE AND AUSTRALIA: https://t.co/Tgz3Dku91B",0.0,0.0,1.0,0.0,66
66,@BBC,Sat May 16 07:26:19 +0000 2020,"It's the #WOWxBBC Festival this weekend. And the line-up is incredible. 

Today @JuliaGillard on leadership,… https://t.co/3PbWr0qnBF",0.4939,0.176,0.824,0.0,67
67,@BBC,Fri May 15 19:01:00 +0000 2020,"It's another all-star lineup on @grahnort's sofa tonight!

✨Will Ferrell
✨@mermhart
✨@MarkRuffalo
✨@mescal_paul
✨… https://t.co/4oCgTIUbHd",0.0,0.0,1.0,0.0,68
68,@BBC,Fri May 15 18:01:00 +0000 2020,"Brand new #LaterJools starts tonight!  🙌

Jools chats to @QueensChristine from her base in Paris, and singer-songwr… https://t.co/HYGCzBJheJ",0.0,0.0,1.0,0.0,69
69,@BBC,Fri May 15 17:26:23 +0000 2020,"RT @BBCLater: ""If I'm brutally honest with you, this is my favourite performance ever done on TV by any artist...""

High praise from @Queen…",0.4404,0.216,0.658,0.125,70
